# name: 김선휘
# student_id: 192719
# mouse_id: m2
# video: m2_epm.mp4
frame,timestamp_s,x,y,area
192,6.418,912,561,3235
197,6.585,899,560,4551
202,6.752,897,560,4684
207,6.919,864,566,4012
212,7.086,803,565,3699
217,7.254,753,565,3928
222,7.421,719,561,3931
227,7.588,712,563,3953
232,7.755,712,563,4058
237,7.922,712,567,3648
242,8.089,719,566,2726
247,8.256,652,565,3340
252,8.423,594,565,3825
257,8.591,545,566,3661
262,8.758,508,566,3524
267,8.925,497,565,3949
272,9.092,485,564,4474
277,9.259,479,570,3938
282,9.426,489,568,2687
287,9.593,469,568,3790
292,9.761,471,568,3879
297,9.928,461,567,4315
302,10.095,462,568,4231
307,10.262,454,565,4509
312,10.429,445,561,4669
317,10.596,448,562,4542
322,10.763,454,562,4110
327,10.930,466,568,4260
332,11.098,479,568,3377
337,11.265,485,570,2802
342,11.432,460,567,4040
347,11.599,443,568,3673
352,11.766,447,564,2648
357,11.933,445,557,2037
362,12.100,449,555,1629
367,12.267,425,557,3365
372,12.435,460,565,3002
377,12.602,492,567,3535
382,12.769,550,565,3523
387,12.936,593,565,3081
392,13.103,599,561,2790
397,13.270,605,562,2031
402,13.437,605,559,1914
407,13.605,618,574,893
412,13.772,600,573,1431
417,13.939,602,573,1386
422,14.106,607,575,1238
427,14.273,606,573,1232
432,14.440,604,566,1945
437,14.607,629,564,3034
442,14.774,682,567,3649
447,14.942,755,561,3601
452,15.109,827,561,3672
457,15.276,866,561,3913
462,15.443,875,560,3889
467,15.610,870,561,3292
472,15.777,837,558,9185
477,15.944,847,555,9568
482,16.112,852,545,11600
487,16.279,857,545,12166
492,16.446,857,544,11355
497,16.613,857,544,12171
502,16.780,867,546,13022
507,16.947,861,551,12093
512,17.114,860,516,16187
517,17.281,875,517,19689
522,17.449,881,512,22231
527,17.616,883,498,25304
532,17.783,884,498,24879
537,17.950,895,557,3853
542,18.117,886,547,5327
547,18.284,892,542,5411
552,18.451,902,522,5265
557,18.618,902,519,5361
562,18.786,901,524,4797
567,18.953,903,509,4293
572,19.120,905,501,3917
577,19.287,902,506,3494
582,19.454,902,507,3644
587,19.621,902,505,3688
592,19.788,902,506,3639
597,19.956,902,507,3705
602,20.123,899,513,4253
607,20.290,903,515,3570
612,20.457,902,515,3561
617,20.624,881,496,13166
622,20.791,901,499,3917
627,20.958,900,495,4211
632,21.125,900,497,4089
637,21.293,902,495,3935
642,21.460,905,499,4118
647,21.627,913,487,5195
652,21.794,914,487,5187
657,21.961,902,431,23141
662,22.128,920,507,3849
667,22.295,908,518,5059
672,22.463,907,441,25593
677,22.630,908,520,5132
682,22.797,907,440,25745
687,22.964,903,524,5128
692,23.131,904,518,5854
697,23.298,907,513,6281
702,23.465,902,520,5704
707,23.632,906,519,4543
712,23.800,906,523,3876
717,23.967,907,527,3715
722,24.134,901,532,4983
727,24.301,901,532,5048
732,24.468,898,537,6037
737,24.635,892,550,4861
742,24.802,896,551,5203
747,24.970,900,553,4969
752,25.137,930,559,4140
757,25.304,931,561,4291
762,25.471,926,561,4144
767,25.638,910,564,4827
772,25.805,919,575,4393
777,25.972,917,581,4242
782,26.139,903,502,26163
