# name: 김선휘
# student_id: 192719
# mouse_id: m1
# video: m1_epm.mp4
frame,timestamp_s,x,y,area
232,7.755,923,554,3589
237,7.922,930,555,3709
242,8.089,933,549,4079
247,8.256,935,551,3806
252,8.423,935,548,3976
257,8.590,935,533,4600
262,8.758,937,535,3963
267,8.925,938,536,3838
272,9.092,931,526,4715
277,9.259,928,524,4856
282,9.426,923,535,6195
287,9.593,919,535,5664
292,9.760,923,528,6072
297,9.927,923,519,7219
302,10.095,923,512,7939
307,10.262,920,503,9750
312,10.429,919,503,9597
317,10.596,921,514,7950
322,10.763,924,501,9536
327,10.930,926,508,8198
332,11.097,929,506,8388
337,11.264,932,507,9148
342,11.432,932,507,9139
347,11.599,938,533,3086
352,11.766,939,526,3666
357,11.933,931,505,6178
362,12.100,928,496,6453
367,12.267,925,490,6406
372,12.434,928,509,5024
377,12.601,926,511,4903
382,12.769,922,511,4774
387,12.936,920,512,4378
392,13.103,919,512,4289
397,13.270,919,513,4242
402,13.437,918,516,4352
407,13.604,919,513,4625
412,13.771,921,513,4593
417,13.939,925,518,4283
422,14.106,932,518,4369
427,14.273,932,517,4427
432,14.440,933,521,4061
437,14.607,932,523,4133
442,14.774,933,524,4015
447,14.941,927,487,11516
452,15.108,931,503,11226
457,15.276,925,472,13099
462,15.443,924,511,4985
467,15.610,924,510,5170
472,15.777,922,507,4946
477,15.944,923,509,4734
482,16.111,922,508,4543
487,16.278,922,506,4732
492,16.445,923,501,5170
497,16.613,922,499,5100
502,16.780,923,497,5251
507,16.947,923,489,5680
512,17.114,922,484,6301
517,17.281,926,489,6207
522,17.448,931,480,6869
527,17.615,931,479,6472
532,17.782,932,480,6501
537,17.950,922,488,10112
542,18.117,932,506,4760
547,18.284,929,500,4798
552,18.451,926,482,4046
557,18.618,917,436,9082
562,18.785,915,433,12906
567,18.952,925,480,3566
572,19.120,924,487,3918
577,19.287,917,500,5203
582,19.454,914,504,5531
587,19.621,918,509,5414
592,19.788,916,529,4631
597,19.955,914,533,4680
602,20.122,907,528,4998
607,20.289,903,529,5208
612,20.457,898,529,5132
617,20.624,890,530,5234
622,20.791,893,527,5115
627,20.958,906,533,4054
632,21.125,895,520,13111
637,21.292,908,541,4648
642,21.459,896,524,14831
647,21.626,904,534,3846
652,21.794,884,522,15220
657,21.961,868,548,4499
662,22.128,874,517,17313
667,22.295,876,516,17150
672,22.462,832,553,10409
677,22.629,796,556,9357
682,22.796,798,554,11201
687,22.963,771,556,10362
692,23.131,779,557,11087
697,23.298,787,559,11092
702,23.465,794,558,10316
707,23.632,744,559,8749
712,23.799,705,557,8056
717,23.966,670,559,8073
722,24.133,639,556,8089
727,24.300,620,558,8214
732,24.468,616,559,8156
737,24.635,623,559,8165
742,24.802,616,560,7961
747,24.969,610,558,7707
752,25.136,578,559,8832
757,25.303,553,562,8389
762,25.470,544,558,8188
767,25.638,544,560,8662
772,25.805,568,560,4058
777,25.972,548,557,8422
782,26.139,536,556,8551
787,26.306,489,558,9284
792,26.473,482,557,3910
797,26.640,467,559,7781
802,26.807,471,556,4001
807,26.975,472,556,4005
812,27.142,469,555,4185
817,27.309,470,557,4128
822,27.476,477,559,3622
827,27.643,476,561,3578
832,27.810,474,561,3660
837,27.977,469,559,3886
842,28.144,460,557,4326
847,28.312,454,558,4466
852,28.479,455,556,4294
857,28.646,472,556,3526
862,28.813,482,561,2863
867,28.980,464,569,3862
872,29.147,477,564,3638
877,29.314,474,556,3182
882,29.481,447,560,6746
887,29.649,454,561,7662
892,29.816,508,565,3536
897,29.983,483,561,9450
902,30.150,477,564,9496
907,30.317,483,565,9717
912,30.484,531,567,3154
917,30.651,579,568,3427
922,30.818,572,565,8988
927,30.986,593,565,8218
932,31.153,595,565,8761
937,31.320,627,564,9071
942,31.487,647,565,8828
947,31.654,649,565,8452
952,31.821,643,562,9570
957,31.988,653,561,9949
962,32.156,661,560,9706
967,32.323,659,564,8291
972,32.490,673,564,9109
977,32.657,737,567,3580
982,32.824,704,564,8679
987,32.991,706,565,8146
992,33.158,709,561,9695
997,33.325,707,560,9537
1002,33.493,688,561,12330
1007,33.660,690,562,12328
1012,33.827,692,563,11926
1017,33.994,723,565,9914
1022,34.161,730,566,9523
1027,34.328,796,568,3651
1032,34.495,757,568,9347
1037,34.662,772,566,8603
1042,34.830,769,565,9056
1047,34.997,769,563,9115
1052,35.164,759,560,10663
1057,35.331,748,559,11345
1062,35.498,741,559,11763
1067,35.665,773,561,9264
1072,35.832,841,563,4060
1077,35.999,863,565,3974
1082,36.167,870,564,4122
1087,36.334,857,532,17457
1092,36.501,835,557,11607
1097,36.668,844,550,13412
1102,36.835,874,553,4706
1107,37.002,875,552,5564
1112,37.169,887,552,4941
1117,37.337,888,552,4953
1122,37.504,891,553,5035
1127,37.671,887,556,4575
1132,37.838,842,553,12010
1137,38.005,863,563,3473
1142,38.172,853,564,4137
1147,38.339,830,561,11491
1152,38.506,825,562,11114
1157,38.674,866,560,4168
1162,38.841,869,563,3511
1167,39.008,880,564,3872
1172,39.175,900,564,4547
1177,39.342,906,562,4508
1182,39.509,895,514,22318
1187,39.676,903,571,3972
1192,39.843,903,574,3954
1197,40.011,905,585,4552
1202,40.178,898,534,23952
1207,40.345,899,534,23816
1212,40.512,901,535,24035
1217,40.679,903,589,4420
1222,40.846,902,601,4761
